,model,environment,best_score,best_solution,n_iterations,record,seed,test
33,neuromodulated_hb,Acrobot-v1,748,"[ 2.0140395   0.06991827 -1.08581141 ... -3.15736583 -0.80624442
 -0.99166162]",51,[1317. 1009. 1009. ...    0.    0.    0.],3,8813
34,neuromodulated_hb,Acrobot-v1,741,"[ 0.74357957  0.33153692 -1.86538972 ...  0.85555185  2.77590805
  1.65441397]",40,[1215. 1215. 1211. ...    0.    0.    0.],4,9027
35,neuromodulated_hb,Acrobot-v1,749,"[ 4.93038103  3.57440534 -1.69746775 ...  1.99062941  1.87644185
 -1.53014987]",24,[1340. 1261. 1074. ...    0.    0.    0.],5,9237
36,neuromodulated_hb,Acrobot-v1,747,"[ 2.2069759   0.82053028  4.1260955  ... 10.20075266  2.49558958
  3.01550725]",31,[1362. 1362. 1231. ...    0.    0.    0.],6,8767
37,neuromodulated_hb,Acrobot-v1,744,"[ 0.95329073 -5.4776617  -2.24771283 ...  2.3294513  -3.01001819
  0.22459477]",48,[1422. 1422. 1381. ...    0.    0.    0.],7,8961
38,neuromodulated_hb,Acrobot-v1,732,"[-5.21373151  2.81276033  2.46654219 ...  4.16620087 -0.25239254
  2.18407533]",27,[1228. 1228. 1228. ...    0.    0.    0.],8,8456
39,neuromodulated_hb,Acrobot-v1,748,"[ 9.85922149 -0.06957876 -1.45748328 ... -0.39346186 -3.38098347
 -3.89676107]",85,[1438. 1287. 1276. ...    0.    0.    0.],9,9398
40,neuromodulated_hb,Acrobot-v1,728,"[ 0.91246277 -4.16324295  3.73415584 ... -2.71498183 -3.31893338
  2.26949692]",25,[1164. 1164.  926. ...    0.    0.    0.],10,8974
41,neuromodulated_hb,Acrobot-v1,748,"[ 2.98266474  3.25039355  1.55455446 ...  3.36479573 -1.0153317
  0.8465361 ]",19,[1204. 1204. 1194. ...    0.    0.    0.],11,9754
42,neuromodulated_hb,Acrobot-v1,744,"[ -1.37379628  -4.20195373   3.76696789 ...   3.95295435  -2.74174704
 -18.78123392]",62,[1331. 1265.  988. ...    0.    0.    0.],12,8519
43,neuromodulated_hb,Acrobot-v1,735,"[ 0.28063972  3.66373683 -2.05620907 ... -0.3852871   1.30681528
  2.74348934]",24,[1115. 1115. 1115. ...    0.    0.    0.],13,8629
44,neuromodulated_hb,Acrobot-v1,747,"[ 0.73241479  0.78508379  0.52339375 ... -4.29008392  2.96965095
  1.99495612]",179,[1164. 1164. 1164. ...    0.    0.    0.],14,9103
45,neuromodulated_hb,Acrobot-v1,750,"[ 5.09558055 -0.68151392  5.33582916 ... -0.19924744  2.90207969
 -7.34877863]",102,[1174. 1174. 1174. ...    0.    0.    0.],15,9070
46,neuromodulated_hb,Acrobot-v1,740,"[ 3.5423006  -1.64056041 -5.25911285 ...  3.63168099 -4.61124928
  2.99487339]",32,[1572. 1508. 1242. ...    0.    0.    0.],16,8733
47,neuromodulated_hb,Acrobot-v1,725,"[-0.49183754  0.13716244 -4.34776074 ...  5.87297194 -2.21564089
 -3.86491587]",51,[1589.  925.  925. ...    0.    0.    0.],17,8483
48,neuromodulated_hb,Acrobot-v1,748,"[ 4.05507999 -5.99171936  1.72522875 ...  4.514495    0.61568454
  1.7885482 ]",47,[1428. 1328. 1166. ...    0.    0.    0.],18,9445
49,neuromodulated_hb,Acrobot-v1,743,"[-1.82399628 -0.49483798 -3.05820744 ...  1.92458777 -1.08884886
  0.33085155]",33,[1247. 1187. 1187. ...    0.    0.    0.],19,8917
50,neuromodulated_hb,Acrobot-v1,736,"[-1.30277605 -3.94888846 -3.18267917 ...  1.7716169  -3.64666816
  1.08495377]",40,[1661. 1503. 1293. ...    0.    0.    0.],20,9136
51,neuromodulated_hb,Acrobot-v1,737,"[ 0.58015791 -2.4280714  -4.39962354 ...  0.34204348  4.8226543
  0.5681571 ]",34,[1136. 1098. 1098. ...    0.    0.    0.],21,9426
52,neuromodulated_hb,Acrobot-v1,746,"[-2.01410451  2.40619582 -0.31325663 ... -0.85300486  0.36407996
  9.05424894]",35,[1383. 1217.  977. ...    0.    0.    0.],22,9257
53,neuromodulated_hb,Acrobot-v1,736,"[ 2.2857      3.09118196  4.10015778 ...  0.47074785  6.28303553
 -3.03803887]",24,[1200. 1200. 1133. ...    0.    0.    0.],23,9135
54,neuromodulated_hb,Acrobot-v1,735,"[ 5.63300057 -4.92841738  7.38373904 ... -1.72021291  4.35980949
 -4.55085563]",43,[1321. 1164. 1122. ...    0.    0.    0.],24,10386
55,neuromodulated_hb,Acrobot-v1,731,"[ 2.39457432  0.62177349 -1.32461152 ...  0.96686106  1.13401827
  1.24755042]",44,[1161. 1161. 1161. ...    0.    0.    0.],25,8684
56,neuromodulated_hb,Acrobot-v1,742,"[-2.02423724  3.72586195  3.52930922 ...  1.57640307 -2.43282943
 -1.93874873]",59,[1446. 1079. 1079. ...    0.    0.    0.],26,9245
57,neuromodulated_hb,Acrobot-v1,745,"[-2.21921313  3.01866116  3.42240284 ...  0.28935704  7.59872726
  2.87356692]",59,[1377. 1158. 1158. ...    0.    0.    0.],27,9329
58,neuromodulated_hb,Acrobot-v1,748,"[-1.20857552  4.17255679  1.92929402 ... -1.64929798  3.62124371
  2.79650004]",53,[1399. 1110. 1110. ...    0.    0.    0.],28,9230
59,neuromodulated_hb,Acrobot-v1,737,"[ 3.37321537 -2.63170919  4.71170725 ...  2.71357188 -3.79657946
  1.60845913]",13,[1106.  935.  882. ...    0.    0.    0.],29,8672
60,static,Acrobot-v1,725,"[ 0.68279377 -2.54993247 -1.1913843  ...  6.485928    2.29445386
 -1.50923301]",16,[1089. 1082.  911. ...    0.    0.    0.],0,8345
61,static,Acrobot-v1,721,"[-1.18991896 -2.04040524  2.88647008 ... -0.45246791  2.56457809
 -2.69222582]",10,[1300. 1300. 1033. ...    0.    0.    0.],1,8422
62,static,Acrobot-v1,749,"[ 5.82184916  3.06323785 -0.52450475 ... -4.31674838  3.46083512
  6.25920995]",9,[909. 909. 802. ...   0.   0.   0.],2,9071
63,static,Acrobot-v1,750,"[ 0.91476118 -2.91212738  1.12966177 ... -1.87645041  2.21165091
 -2.67169715]",14,[1039. 1039.  883. ...    0.    0.    0.],3,8947
64,static,Acrobot-v1,736,"[ 0.30588786 -0.15410146  5.32328613 ... -2.5941374   2.32877654
 -3.70331343]",12,[1132. 1132.  937. ...    0.    0.    0.],4,8164
65,static,Acrobot-v1,745,"[-3.93020441 -4.60266742 -1.48970293 ... -0.5294778   4.54511793
  7.23471745]",12,[1386. 1167. 1054. ...    0.    0.    0.],5,9241
66,static,Acrobot-v1,723,"[-2.51723375  3.22970825 -0.8837459  ...  0.4546625   4.80374504
  2.58796803]",16,[1111. 1075.  975. ...    0.    0.    0.],6,8690
67,static,Acrobot-v1,725,"[-3.37259891 -3.29731218 -2.63309002 ...  2.25222876 -4.90086838
  0.92238961]",16,[1009. 1009.  939. ...    0.    0.    0.],7,8887
68,static,Acrobot-v1,742,"[ 0.8778756  -2.82402234 -0.71764188 ...  3.22295692 -0.39397247
 -6.37178228]",13,[1145.  971.  971. ...    0.    0.    0.],8,8144
69,static,Acrobot-v1,747,"[ 7.86720036  0.93052871 -0.47519639 ... -3.88096412  2.85580698
  3.17963211]",19,[1148. 1116.  830. ...    0.    0.    0.],9,9271
70,static,Acrobot-v1,717,"[-6.60044784e-01 -1.79263072e+00  1.65538035e-05 ... -1.30400081e+00
  3.00773151e+00  1.26232810e+01]",15,[1072.  999.  940. ...    0.    0.    0.],10,8568
71,static,Acrobot-v1,705,"[-4.52625926  1.02689101  2.43299273 ...  0.59432012 -1.17989407
 -7.05103731]",21,[1189. 1039.  999. ...    0.    0.    0.],11,8794
72,static,Acrobot-v1,743,"[ 3.8409213  -4.44255359 -0.88892367 ...  1.38206578  3.59860235
 -1.89948264]",8,[1259. 1149. 1010. ...    0.    0.    0.],12,8363
73,static,Acrobot-v1,746,"[ 2.89757586 -0.75302869  5.43297252 ... -3.53583583 -1.72141196
  0.25126672]",20,[972. 972. 873. ...   0.   0.   0.],13,9106
74,static,Acrobot-v1,727,"[ 5.50181758 -5.72487557 -2.48890145 ... -1.01920323  2.22194978
  3.63678065]",7,[1278. 1187. 1022. ...    0.    0.    0.],14,8603
75,static,Acrobot-v1,742,"[-1.31230462 -4.28836294  3.00874661 ... -1.28488147  5.6565741
 -3.26013851]",19,[1241. 1224. 1224. ...    0.    0.    0.],15,8239
76,static,Acrobot-v1,735,"[ 2.185091    2.91497373  3.95542971 ...  0.48044523  3.54014471
 -6.68902008]",18,[1030. 1030. 1030. ...    0.    0.    0.],16,9432
77,static,Acrobot-v1,746,"[ 1.65042214  4.13262759 -5.21311725 ... -3.43366026  3.59751598
  1.2558322 ]",12,[1023. 1023. 1023. ...    0.    0.    0.],17,9903
78,static,Acrobot-v1,724,"[ 3.21618023  3.16668494 -3.41140677 ... -1.10848172  7.72890888
 -3.13841993]",18,[1341. 1062. 1055. ...    0.    0.    0.],18,8247
79,static,Acrobot-v1,744,"[-2.57201248  2.51837085 -0.4070014  ... -1.42488687  0.24921947
  4.27653067]",5,[871. 793. 793. ...   0.   0.   0.],19,8012
80,static,Acrobot-v1,732,"[-3.40517586 -6.50474421  5.36502205 ...  1.68657293  2.06042471
  1.25217107]",13,[897. 897. 897. ...   0.   0.   0.],20,9240
81,static,Acrobot-v1,741,"[-3.60354066 -0.77574823 -5.19663577 ... -4.90326267  0.60168685
 -1.78772037]",13,[868. 868. 868. ...   0.   0.   0.],21,8791
82,static,Acrobot-v1,739,"[ 5.07162942  2.08989859  2.15641892 ...  3.3710395  -0.71829268
  6.28412813]",13,[1131.  887.  848. ...    0.    0.    0.],22,8137
83,static,Acrobot-v1,709,"[-2.05058485  0.72529911  1.53023741 ...  1.27857525  1.57315418
  4.09233285]",19,[1190. 1163. 1163. ...    0.    0.    0.],23,8385
84,static,Acrobot-v1,732,"[-3.73877009  3.69386436  3.53225764 ... -3.59584134  5.52161671
  3.53678523]",6,[1017. 1017.  985. ...    0.    0.    0.],24,8608
85,static,Acrobot-v1,737,"[ 3.76548752  2.04598719 -4.1616262  ... -4.80159658  3.35083291
 -1.52480341]",10,[930. 928. 928. ...   0.   0.   0.],25,8657
86,static,Acrobot-v1,744,"[ 0.52259636 -2.99240188 -1.96385822 ...  1.74588253 -1.49385733
  1.63135269]",21,[932. 932. 905. ...   0.   0.   0.],26,8475
87,static,Acrobot-v1,732,"[-2.18985159 -2.87544637 -3.62142815 ... -1.59104403  0.50748521
 -2.95042303]",12,[1067. 1067. 1067. ...    0.    0.    0.],27,8814
88,static,Acrobot-v1,736,"[ 3.88329436  2.95982602 -3.44449591 ... -0.70318784 -2.0219836
  1.80907203]",13,[1021.  929.  889. ...    0.    0.    0.],28,8750
89,static,Acrobot-v1,701,"[-4.451584   -3.87687331 -2.44114638 ... -3.60752045 -2.45281694
 -3.1177792 ]",18,[947. 947. 913. ...   0.   0.   0.],29,8758
90,abcd,CartPole-v1,-5000,"[-1.43393716  1.59890224  0.38424406 ...  2.52828807  2.03151291
  2.22159236]",24,[-1088. -1469. -1609. ...     0.     0.     0.],0,-47948
91,abcd,CartPole-v1,-5000,"[-0.35896024 -4.47367158  2.49174298 ... -1.64057848  2.80789512
 -2.35855365]",35,[-2209. -2575. -2575. ...     0.     0.     0.],1,-32420
92,abcd,CartPole-v1,-5000,"[-6.92120837 -6.1982283   3.86044861 ... -2.11158104 -0.87195639
  3.81330601]",16,[-1112. -1324. -1324. ...     0.     0.     0.],2,-46682
93,abcd,CartPole-v1,-5000,"[-8.35613083  3.09705089 -2.1019251  ... -0.71469375  4.69672612
  0.57614855]",11,[-2986. -2986. -4523. ...     0.     0.     0.],3,-43744
94,abcd,CartPole-v1,-5000,"[ 0.07877988 -1.28038712 -6.30448314 ...  1.21709836  2.48013256
 -1.66765562]",17,[ -905.  -965. -2259. ...     0.     0.     0.],4,-40283
95,abcd,CartPole-v1,-5000,"[ 4.43261844  0.03750201  5.22752799 ...  0.16116675  4.68859311
 -1.4325763 ]",32,[-1183. -1409. -1409. ...     0.     0.     0.],5,-41188
96,abcd,CartPole-v1,-5000,"[ 2.97275105 -6.28584789 -2.91694478 ...  0.75604307 -3.14929538
 -1.543429  ]",24,[-1053. -2161. -2161. ...     0.     0.     0.],6,-39710
97,abcd,CartPole-v1,-5000,"[-2.51742463  1.40908775  0.44415492 ...  2.8652676  -5.32289708
  0.67908416]",14,[-1325. -2054. -2432. ...     0.     0.     0.],7,-36508
98,abcd,CartPole-v1,-5000,"[-3.22754161  2.20325876 -2.39922162 ... -6.63520132  0.34076769
 -3.74363808]",36,[-1101. -1101. -1265. ...     0.     0.     0.],8,-38875
99,abcd,CartPole-v1,-5000,"[ 0.45138213 -3.26875618  1.40263057 ... -2.30919931 -1.3429498
 -1.86075705]",15,[ -938. -1282. -3784. ...     0.     0.     0.],9,-34510
100,abcd,CartPole-v1,-5000,"[ 3.67025929  0.50290419 -3.1210385  ... -5.97676341 -0.05182266
 -0.93588255]",13,[-1430. -2787. -2787. ...     0.     0.     0.],10,-36815
101,abcd,CartPole-v1,-5000,"[ 2.60241832 -1.93697941  1.49734389 ...  5.91685255 -2.30707414
 -5.98445365]",24,[ -976. -1188. -1188. ...     0.     0.     0.],11,-31686
102,abcd,CartPole-v1,-5000,"[ 2.59894556  4.31629192 -4.6004699  ...  0.96006897 -4.09564188
  0.83928898]",43,[-1608. -2631. -2631. ...     0.     0.     0.],12,-43507
103,abcd,CartPole-v1,-5000,"[-5.7794579  -1.17516307  8.85779186 ... -6.26169451 -1.67172983
  3.23189847]",14,[-1754. -1969. -2175. ...     0.     0.     0.],13,-33936
104,abcd,CartPole-v1,-5000,"[-0.54801338 -3.74205867  1.36285605 ...  0.48567117 -2.2608115
 -2.76655789]",18,[-1003. -1197. -1911. ...     0.     0.     0.],14,-41216
105,abcd,CartPole-v1,-5000,"[-2.05078382 -2.34121134  2.79042809 ... -4.10005844  0.652063
 -3.96428973]",93,[-2063. -2063. -3339. ...     0.     0.     0.],15,-32659
106,abcd,CartPole-v1,-5000,"[-5.28169092 -1.46753832  3.19845851 ... -4.66424281  5.42473738
 -0.77003594]",21,[-1213. -1533. -1533. ...     0.     0.     0.],16,-39563
107,abcd,CartPole-v1,-5000,"[ 3.67490779  1.56336127  5.0052311  ... -4.42131955 -1.50168575
  0.46153405]",19,[-1145. -2465. -2465. ...     0.     0.     0.],17,-38521
108,abcd,CartPole-v1,-5000,"[  0.81260606   4.62253238 -13.73690756 ...  -4.35240028   0.69539624
  -2.10696964]",29,[-1994. -3121. -3121. ...     0.     0.     0.],18,-24350
109,abcd,CartPole-v1,-5000,"[ 3.60130254  2.08252468 -0.12119189 ... -4.28953556  2.64621341
  4.75496406]",20,[-1712. -1712. -1712. ...     0.     0.     0.],19,-48026
110,abcd,CartPole-v1,-5000,"[-1.79479159  6.6035586  -7.8878351  ... -5.83905825  3.49994451
 -3.83718684]",33,[-1161. -1436. -1708. ...     0.     0.     0.],20,-36306
111,abcd,CartPole-v1,-5000,"[ 1.53953418  4.72279909  0.36297986 ...  6.34509282 10.08656233
  2.37147465]",21,[-1165. -1707. -2377. ...     0.     0.     0.],21,-37741
112,abcd,CartPole-v1,-5000,"[ 3.43000418  3.22938659 -4.78696786 ...  4.61967227  3.45927935
 -1.54696173]",19,[-1511. -2242. -2591. ...     0.     0.     0.],22,-38852
113,abcd,CartPole-v1,-5000,"[ 2.20137234 -0.81515808  0.78073774 ...  0.12586763  4.48588212
 -4.21576555]",25,[-1223. -1326. -1679. ...     0.     0.     0.],23,-39982
114,abcd,CartPole-v1,-5000,"[ 2.81488868 -4.36795963 -4.00746477 ... -1.1307647   8.89880971
 -5.95366233]",28,[ -833. -1013. -1387. ...     0.     0.     0.],24,-22658
